filename,Tree cover,Grassland,Cropland,Built-up,Bare / sparse vegetation,Permanent water bodies,Herbaceous wetland,Shrubland
23.9491_89.9571.png,15.08,0.11,81.97,0.21,0.0,0.72,1.91,0.0
23.7579_90.4070.png,12.46,0.3,1.02,71.18,0.34,14.7,0.0,0.0
23.8226_90.0158.png,29.08,2.09,67.08,0.05,0.77,0.01,0.91,0.0
23.7193_90.0692.png,39.92,0.0,59.99,0.03,0.01,0.0,0.06,0.0
23.8693_90.1306.png,38.25,0.09,61.2,0.34,0.0,0.11,0.0,0.0
24.1693_90.4482.png,75.22,0.22,23.59,0.55,0.42,0.0,0.0,0.0
24.0991_90.0394.png,31.92,0.04,67.49,0.52,0.0,0.02,0.0,0.0
23.8579_89.9192.png,26.43,0.12,72.68,0.6,0.06,0.0,0.11,0.0
24.1079_90.3306.png,56.38,1.2,19.28,3.28,6.11,13.03,0.71,0.0
24.1579_89.9395.png,47.9,0.0,51.63,0.47,0.0,0.0,0.0,0.0
24.0903_90.2192.png,34.87,0.34,53.23,1.33,0.17,8.95,1.11,0.0
24.1693_89.9982.png,39.46,0.07,59.82,0.65,0.0,0.0,0.0,0.0
24.0403_90.2806.png,60.99,2.16,14.07,21.86,0.65,0.07,0.19,0.0
23.7693_90.1158.png,33.72,0.12,66.02,0.09,0.0,0.0,0.04,0.0
23.9991_90.4658.png,73.68,0.01,25.54,0.39,0.03,0.35,0.01,0.0
24.1579_90.1158.png,81.43,0.22,17.14,0.94,0.0,0.01,0.26,0.0
23.9903_89.9070.png,32.08,0.02,67.5,0.3,0.0,0.0,0.11,0.0
23.7903_90.0158.png,28.77,1.47,60.7,0.12,0.11,8.29,0.56,0.0
23.8727_90.1570.png,15.34,0.86,83.66,0.02,0.03,0.0,0.09,0.0
24.0991_90.4306.png,77.92,1.97,6.04,13.91,0.16,0.0,0.0,0.0
23.9815_90.3570.png,33.59,1.61,35.15,28.05,1.34,0.26,0.0,0.0
23.7315_90.3482.png,27.96,6.83,8.97,39.79,0.49,15.95,0.0,0.0
23.8991_89.9070.png,25.62,0.0,74.36,0.02,0.0,0.0,0.0,0.0
24.1227_90.4192.png,86.24,0.03,13.08,0.64,0.01,0.01,0.0,0.0
23.8491_90.3982.png,6.61,9.63,28.11,41.73,13.31,0.61,0.0,0.0
23.9193_90.1807.png,24.1,4.82,68.19,1.5,0.81,0.0,0.54,0.03
23.7903_90.2159.png,29.36,1.77,66.86,1.6,0.41,0.0,0.0,0.0
24.1079_90.0192.png,19.68,0.0,79.8,0.1,0.0,0.0,0.42,0.0
23.9991_90.1693.png,29.73,0.0,69.93,0.31,0.0,0.0,0.02,0.0
23.8079_89.9070.png,21.57,0.02,78.29,0.12,0.0,0.0,0.0,0.0
24.0079_90.4570.png,69.33,0.04,29.15,1.05,0.04,0.0,0.38,0.0
24.0815_89.9307.png,27.75,0.53,62.82,0.57,1.32,7.0,0.01,0.0
23.7079_90.0394.png,24.55,0.26,71.65,0.1,0.0,0.11,3.32,0.0
23.7815_90.2806.png,17.57,2.74,73.29,1.83,0.0,0.68,3.9,0.0
23.6727_90.4306.png,12.07,19.11,25.74,36.45,4.27,2.36,0.0,0.0
24.1815_90.4158.png,43.04,0.26,35.57,17.97,1.61,0.0,1.56,0.0
23.8315_90.0692.png,34.1,0.0,65.71,0.19,0.0,0.0,0.0,0.0
23.6693_90.2159.png,16.31,5.38,71.17,0.34,1.5,4.68,0.62,0.0
23.9079_90.2894.png,31.21,1.44,12.17,54.73,0.43,0.02,0.0,0.0
24.1815_90.3806.png,91.5,0.83,7.67,0.0,0.0,0.0,0.0,0.0
23.7579_90.2692.png,35.87,0.4,58.78,0.21,0.0,1.88,2.85,0.0
23.7693_90.3482.png,1.65,1.07,0.97,85.77,3.26,7.27,0.02,0.0
23.7491_89.9692.png,51.91,0.1,44.36,0.81,0.04,0.0,2.77,0.0
23.7079_90.1807.png,44.26,0.38,54.31,1.02,0.0,0.0,0.03,0.0
23.8815_90.0070.png,49.65,0.0,49.94,0.42,0.0,0.0,0.0,0.0
23.8491_90.3192.png,68.82,0.75,25.19,3.13,0.2,0.22,1.49,0.2
24.0991_90.2982.png,78.04,1.33,10.91,0.08,1.13,4.3,4.2,0.0
23.9815_90.0659.png,33.27,0.0,65.54,1.2,0.0,0.0,0.0,0.0
23.8991_89.9894.png,87.92,1.11,10.3,0.22,0.45,0.0,0.0,0.0
24.0991_90.2071.png,31.01,0.86,61.14,1.17,1.16,2.86,1.8,0.0
23.7079_89.8806.png,0.0,0.1,7.47,0.0,0.0,92.43,0.0,0.0
23.8193_90.3306.png,0.08,0.0,85.3,0.0,0.0,9.3,5.32,0.0
23.8403_90.3570.png,20.51,8.18,20.89,25.46,2.26,16.67,6.03,0.0
24.0491_90.0571.png,26.36,0.0,73.51,0.12,0.0,0.0,0.01,0.0
23.9193_90.0158.png,38.79,0.13,60.76,0.31,0.02,0.0,0.0,0.0
23.8903_89.9070.png,31.31,1.25,64.17,0.01,0.29,2.98,0.0,0.0
23.6727_90.2482.png,2.63,0.07,94.91,0.0,0.0,0.93,1.45,0.01
23.7227_90.4658.png,19.78,9.74,37.74,17.1,4.89,10.01,0.75,0.0
23.8815_89.9659.png,44.96,0.0,54.92,0.12,0.0,0.0,0.0,0.0
23.9579_90.2071.png,36.48,0.25,59.39,2.45,0.45,0.15,0.83,0.0
23.6991_90.0692.png,70.58,0.62,27.31,1.32,0.0,0.12,0.05,0.0
23.7227_90.3894.png,15.3,2.22,1.84,80.4,0.22,0.03,0.0,0.0
24.1491_89.9659.png,25.0,0.0,74.85,0.15,0.0,0.0,0.0,0.0
24.1491_90.0571.png,29.4,0.0,69.97,0.35,0.0,0.04,0.23,0.0
23.6903_90.1693.png,63.4,0.06,35.63,0.91,0.0,0.0,0.0,0.0
24.0693_90.4158.png,62.03,0.13,37.01,0.82,0.0,0.0,0.0,0.0
23.9815_89.9806.png,36.88,0.01,63.05,0.06,0.0,0.0,0.0,0.0
23.8727_90.0982.png,41.42,0.44,57.41,0.34,0.01,0.02,0.37,0.0
23.7227_90.1306.png,32.62,2.48,53.82,0.2,0.29,10.48,0.11,0.0
24.0991_90.2192.png,12.74,2.57,80.29,0.61,2.07,1.64,0.08,0.0
24.0991_89.9571.png,58.34,0.04,41.4,0.21,0.0,0.0,0.01,0.0
24.1403_90.2306.png,88.05,0.21,11.74,0.01,0.0,0.0,0.0,0.0
23.8079_90.0192.png,33.1,1.41,49.03,1.26,2.87,11.21,1.12,0.0
23.7403_90.4192.png,13.23,0.88,0.43,84.81,0.49,0.17,0.0,0.0
24.2079_90.0192.png,18.79,0.28,80.43,0.26,0.04,0.13,0.07,0.0
23.8403_90.0482.png,34.8,0.09,64.77,0.34,0.0,0.0,0.0,0.0
23.8991_90.0894.png,24.53,1.98,72.86,0.13,0.42,0.09,0.0,0.0
24.0991_90.0894.png,51.86,1.27,27.46,14.02,1.58,3.3,0.51,0.0
23.7193_89.8894.png,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
23.9403_90.0158.png,47.74,0.19,51.85,0.21,0.0,0.0,0.0,0.0
24.0726_90.3982.png,77.49,0.04,20.65,1.81,0.01,0.0,0.0,0.0
23.8903_90.1394.png,4.8,6.95,86.93,0.38,0.87,0.0,0.07,0.0
23.7991_90.1394.png,41.81,0.1,54.86,3.23,0.0,0.0,0.0,0.0
23.7903_90.0394.png,3.46,5.28,91.25,0.0,0.01,0.0,0.0,0.0
23.9315_90.4658.png,61.47,0.4,25.68,11.81,0.23,0.01,0.42,0.0
23.7991_90.2692.png,19.33,2.24,24.31,50.44,0.84,0.68,2.17,0.01
23.7079_90.2159.png,43.85,1.88,39.37,0.5,0.9,13.32,0.17,0.0
23.7991_90.1570.png,49.46,0.0,49.65,0.9,0.0,0.0,0.0,0.0
23.9727_90.1983.png,57.37,0.27,38.5,3.67,0.0,0.0,0.2,0.0
24.0726_89.9483.png,51.04,1.19,38.03,2.42,0.74,6.58,0.0,0.0
23.9991_90.1895.png,40.51,0.36,57.93,0.91,0.0,0.02,0.28,0.0
23.7815_90.0394.png,24.03,1.29,74.29,0.3,0.07,0.0,0.01,0.0
24.1227_89.9192.png,16.73,0.01,83.15,0.07,0.0,0.0,0.04,0.0
23.7991_89.8982.png,37.86,0.03,62.01,0.09,0.0,0.0,0.0,0.0
23.8403_90.1394.png,51.35,0.7,47.02,0.58,0.06,0.3,0.0,0.0
23.7727_90.0070.png,64.27,0.19,35.24,0.03,0.01,0.19,0.07,0.0
23.7193_90.0806.png,19.49,3.04,76.74,0.1,0.63,0.0,0.01,0.0
23.8991_90.3894.png,11.35,0.77,13.38,67.94,1.87,4.68,0.01,0.0
23.7193_89.9806.png,5.56,8.98,37.83,0.0,0.32,47.31,0.0,0.0
24.0991_90.1983.png,37.07,1.93,42.95,6.1,1.96,8.72,1.26,0.0
23.8079_89.9692.png,33.19,0.11,66.41,0.3,0.0,0.0,0.01,0.0
23.8903_90.3982.png,16.26,8.41,17.35,55.57,0.65,1.75,0.0,0.0
23.6991_90.3570.png,12.68,25.6,43.66,14.3,3.58,0.18,0.0,0.0
23.6991_90.1306.png,7.39,0.0,92.45,0.03,0.0,0.01,0.12,0.0
24.0815_90.2570.png,60.16,0.04,29.69,0.09,0.0,0.59,9.22,0.21
23.9403_89.9483.png,14.12,0.0,85.43,0.28,0.0,0.0,0.16,0.0
23.9227_90.3394.png,0.36,0.0,80.34,0.0,0.0,10.35,8.95,0.0
23.8693_90.3806.png,7.31,1.84,5.88,79.06,0.99,0.41,4.5,0.0
23.7227_89.9192.png,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
24.0193_89.9982.png,35.4,0.2,64.1,0.17,0.0,0.12,0.01,0.0
23.8079_90.3806.png,9.31,2.22,2.55,83.88,0.97,1.06,0.0,0.0
23.8315_90.4692.png,28.85,25.84,14.87,18.32,9.34,2.77,0.0,0.0
23.8403_90.0806.png,34.09,2.43,62.87,0.28,0.06,0.27,0.0,0.0
23.8193_90.4070.png,43.51,3.66,9.71,38.86,1.6,2.66,0.0,0.0
24.0726_89.8894.png,10.45,5.57,82.41,0.36,1.0,0.0,0.21,0.0
24.1193_90.1158.png,20.74,0.03,74.76,0.93,0.09,3.31,0.14,0.0
24.0491_89.9571.png,28.85,5.6,53.31,0.03,1.62,10.58,0.01,0.0
24.0079_90.2394.png,70.65,0.16,15.88,12.81,0.36,0.08,0.06,0.0
23.9227_90.0070.png,38.59,0.55,60.52,0.27,0.08,0.01,0.0,0.0
23.7227_90.3306.png,42.5,11.61,29.52,16.01,0.35,0.02,0.0,0.0
23.8579_90.1394.png,49.55,0.09,49.92,0.44,0.0,0.0,0.0,0.0
23.7579_90.1983.png,41.15,2.78,51.6,4.47,0.0,0.0,0.01,0.01
24.0726_90.3806.png,63.69,0.08,26.5,9.65,0.08,0.0,0.0,0.0
23.6903_90.3306.png,26.58,0.64,71.31,1.46,0.01,0.0,0.0,0.0
23.6727_89.8894.png,5.46,1.69,89.31,0.16,0.36,2.99,0.03,0.0
23.7693_90.3806.png,34.69,10.09,16.57,35.22,2.44,0.99,0.0,0.0
23.7579_90.1570.png,33.49,0.01,66.43,0.07,0.0,0.0,0.0,0.0
23.9815_89.8982.png,14.18,0.0,85.71,0.09,0.0,0.01,0.0,0.0
23.8403_89.9483.png,22.85,0.23,76.3,0.07,0.0,0.54,0.02,0.0
23.7815_90.1807.png,31.48,0.0,68.44,0.08,0.0,0.0,0.0,0.0
24.0403_90.3982.png,56.96,0.9,34.52,7.3,0.33,0.0,0.0,0.0
23.7579_89.9483.png,21.31,0.02,78.54,0.06,0.0,0.0,0.07,0.0
24.1079_89.9982.png,30.67,0.02,68.28,0.13,0.0,0.0,0.9,0.0
24.1903_90.1482.png,80.52,0.18,19.04,0.19,0.07,0.0,0.0,0.0
23.6693_90.0192.png,2.48,1.51,0.89,0.01,0.63,94.47,0.0,0.0
24.0991_90.0158.png,29.84,0.0,69.46,0.4,0.0,0.0,0.3,0.0
23.7079_90.4692.png,11.15,0.46,0.8,85.3,1.21,1.08,0.0,0.0
23.9403_90.3482.png,17.82,0.05,71.92,0.91,0.07,7.46,1.78,0.0
24.1693_90.1658.png,69.92,1.07,23.91,3.66,1.27,0.16,0.0,0.0
23.8226_90.3658.png,2.23,0.46,0.2,96.83,0.27,0.0,0.0,0.0
24.1727_90.3692.png,92.84,0.3,6.86,0.0,0.0,0.0,0.0,0.0
24.1579_90.3658.png,75.72,2.8,20.63,0.78,0.06,0.0,0.0,0.0
23.6727_90.4070.png,19.72,28.23,19.5,27.47,5.08,0.0,0.0,0.0
23.9491_90.4482.png,45.53,0.06,48.36,0.2,0.15,0.13,5.56,0.02
24.1491_89.9894.png,57.09,0.17,41.61,0.89,0.0,0.05,0.18,0.0
23.7227_89.8982.png,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
23.6693_90.3071.png,40.97,3.74,33.52,19.14,0.54,1.99,0.1,0.0
23.8579_90.4192.png,13.76,0.52,0.92,84.31,0.32,0.13,0.04,0.0
23.9491_90.2658.png,23.39,0.88,22.04,49.95,1.23,2.11,0.41,0.0
23.8226_90.4394.png,22.92,4.33,6.88,61.88,3.92,0.07,0.0,0.0
23.9991_89.9192.png,44.72,0.86,49.84,0.54,0.09,3.94,0.0,0.0
23.7403_90.4070.png,31.79,0.0,0.29,66.7,0.63,0.6,0.0,0.0
23.7815_90.1570.png,55.67,0.0,43.52,0.81,0.0,0.0,0.0,0.0
24.1991_90.0692.png,7.1,0.02,88.95,0.02,0.0,0.0,3.91,0.0
23.7403_90.4482.png,30.7,0.72,5.81,59.74,0.86,2.17,0.0,0.0
23.8903_90.4306.png,50.32,3.06,25.97,17.28,0.27,3.08,0.0,0.0
23.9227_90.0894.png,28.19,11.83,54.03,1.4,2.6,1.28,0.68,0.0
23.9579_90.0158.png,69.15,0.74,28.94,1.14,0.0,0.02,0.0,0.0
23.7193_90.4692.png,15.36,7.16,19.76,47.52,3.92,5.88,0.39,0.0
23.9227_89.9982.png,28.05,0.0,71.95,0.0,0.0,0.0,0.0,0.0
23.7315_89.9982.png,2.41,0.18,97.0,0.0,0.0,0.41,0.0,0.0
24.1579_90.4482.png,79.89,0.13,19.8,0.17,0.01,0.0,0.0,0.0
23.9815_90.0571.png,29.89,0.44,68.77,0.5,0.05,0.25,0.11,0.0
23.7727_90.3306.png,1.76,20.86,26.54,3.9,9.44,36.88,0.62,0.0
23.9491_89.9395.png,26.7,0.08,72.83,0.39,0.0,0.0,0.0,0.0
23.8693_90.0806.png,37.74,0.1,62.12,0.04,0.0,0.0,0.0,0.0
23.8579_90.2482.png,37.03,4.53,27.93,28.27,1.51,0.12,0.61,0.0
23.7491_89.9894.png,64.64,0.0,35.12,0.2,0.0,0.0,0.04,0.0
23.8079_90.2482.png,13.91,4.15,31.67,36.12,0.55,13.6,0.01,0.0
24.0693_89.9894.png,43.32,0.68,49.08,0.03,0.0,0.98,5.92,0.0
23.9693_90.1570.png,42.4,0.0,56.88,0.72,0.0,0.0,0.0,0.0
23.7491_89.9395.png,22.52,0.08,75.58,0.05,0.0,0.0,1.76,0.0
23.6991_90.2982.png,64.32,0.04,33.46,1.81,0.0,0.0,0.38,0.0
23.7403_89.9571.png,43.5,0.71,50.07,0.01,0.57,4.84,0.32,0.0
23.7693_90.4482.png,5.29,34.95,40.55,11.54,1.59,4.67,1.42,0.0
24.1693_90.1192.png,37.53,0.49,58.76,1.2,0.34,0.41,1.28,0.0
